,Hour,PreCovid_Crashes,Covid_Crashes
0,0,1.027788649706458,0.821917808219178
1,1,0.8935420743639921,0.6356164383561644
2,2,1.2657534246575342,0.5698630136986301
3,3,0.7530332681017613,0.4054794520547945
4,4,0.46301369863013697,0.3835616438356164
5,5,0.5197651663405088,0.4931506849315068
6,6,1.1510763209393347,0.8438356164383561
7,7,1.9416829745596869,0.8164383561643835
8,8,2.176908023483366,0.8986301369863013
9,9,1.7753424657534247,0.9315068493150684
10,10,1.6454011741682975,1.1506849315068493
11,11,1.8199608610567515,1.2602739726027397
12,12,2.317416829745597,1.463013698630137
13,13,2.3612524461839532,1.6767123287671233
14,14,2.2943248532289626,1.4136986301369863
15,15,2.52133072407045,2.0
16,16,3.0207436399217222,2.032876712328767
17,17,3.355381604696673,2.115068493150685
18,18,2.922113502935421,1.6602739726027398
19,19,2.221917808219178,1.484931506849315
20,20,1.7111545988258317,1.3753424657534246
21,21,1.6974559686888453,1.441095890410959
22,22,1.5499021526418786,1.4082191780821918
23,23,1.2708414872798435,0.8986301369863013
