,Month,Prediction,Actual,Crashes_Avoided
0,2021_01,41,78,-37
1,2021_01,51,78,-27
1000,2021_02,46,70,-24
1001,2021_02,36,70,-34
996,2021_03,41,66,-25
997,2021_03,32,66,-34
4843,2021_04,50,90,-40
4842,2021_04,41,90,-49
6810,2021_05,41,96,-55
6811,2021_05,48,96,-48
2935,2021_06,40,96,-56
2934,2021_06,44,96,-52
2926,2021_07,53,90,-37
11234,2021_08,44,86,-42
14576,2021_09,44,94,-50
14577,2021_09,56,94,-38
14568,2021_10,42,84,-42
14569,2021_10,40,84,-44
14892,2021_11,40,90,-50
17328,2021_12,45,76,-31
